Job_Name,Company_Name,Location,Published_Time,exp_level,exp_years,Job_Type
Personnel Specialist,Samaya Electronics Egypt LTD,"Cairo, Egypt",1 hour ago,Experienced,3 - 5 Yrs of Exp,Full Time
Architectural Project Manager,KB Architects ,"Maadi, Cairo, Egypt",60 minutes ago,Manager,13 - 15 Yrs of Exp,Full Time
Site Engineer (Architect or Interior Design Engineer),Itqanconstruction,"New Cairo, Cairo, Egypt",60 minutes ago,Entry Level,2 - 3 Yrs of Exp,Full Time
Senior Business Developer,KB Architects ,"Maadi, Cairo, Egypt",59 minutes ago,Experienced,8 - 10 Yrs of Exp,Full Time
Senior Architect Site Engineer,KB Architects ,"Maadi, Cairo, Egypt",59 minutes ago,Experienced,8 - 12 Yrs of Exp,Full Time
Senior Sales Engineer,KB Architects ,"Maadi, Cairo, Egypt",59 minutes ago,Experienced,8 - 10 Yrs of Exp,Full Time
Technical Office Manager,KB Architects ,"Maadi, Cairo, Egypt",58 minutes ago,Manager,10 - 15 Yrs of Exp,Full Time
Cheif Accountant,Middle east tags,"Heliopolis, Cairo, Egypt",57 minutes ago,Manager,5 - 10 Yrs of Exp,Full Time
Treasury Accountant,Sky Holding,"Maadi, Cairo, Egypt",56 minutes ago,Experienced,2 - 5 Yrs of Exp,Full Time
ceo Executive Secretary,MG ,"Nasr City, Cairo, Egypt",54 minutes ago,Senior Management,1 - 3 Yrs of Exp,Full Time
SAP SD CX function consultant,Nahdet Misr Publishing Group,"Giza, Egypt",53 minutes ago,Experienced,3 - 4 Yrs of Exp,Full Time
Cloud Developer,Nahdet Misr Publishing Group,"Giza, Egypt",51 minutes ago,Experienced,3 - 5 Yrs of Exp,Full Time
Treasury & Banking Supervisor,BEDO Company ,"6th of October, Giza, Egypt",51 minutes ago,Manager,5 - 7 Yrs of Exp,Full Time
Call Center Site Manager (Corporate Account),Etisalat Egypt,"Maadi, Cairo, Egypt",50 minutes ago,Manager,4 - 6 Yrs of Exp,Full Time
Telesales Executive,MG Developments,"Nasr City, Cairo, Egypt",48 minutes ago,Entry Level,0 - 2 Yrs of Exp,Full Time
Mechanical Technical Office Engineer,MG ,"Nasr City, Cairo, Egypt",48 minutes ago,Entry Level,0 - 1 Yrs of Exp,Full Time
Export Operation Executive,Nexus Shipping Agencies,"Heliopolis, Cairo, Egypt",47 minutes ago,Experienced,3 - 4 Yrs of Exp,Full Time
Bilingual Tour Leaders (German & English) - Based in U.A.E,OceanAir Travels,"Dubai, United Arab Emirates",46 minutes ago,Experienced,3+ Yrs of Exp,Full Time
Real Estate Sales Agent Broker,MARS Real Eatate   ,"Sheikh Zayed, Giza, Egypt",46 minutes ago,Entry Level,0 - 3 Yrs of Exp,Full Time
Bilingual Tour Leader (Spanish & English) - Based in U.A.E,OceanAir Travels,"Dubai, United Arab Emirates",44 minutes ago,Experienced,3+ Yrs of Exp,Full Time
Bilingual Tour Leader (French & English) - Based in U.A.E,OceanAir Travels,"Dubai, United Arab Emirates",43 minutes ago,Experienced,3+ Yrs of Exp,Full Time
Senior Cost control Engineer,Elaraby Group,"Cairo, Egypt",40 minutes ago,Experienced,4 - 7 Yrs of Exp,Full Time
Payroll Specialist,Samaya Electronics Egypt LTD,"Cairo, Egypt",38 minutes ago,Experienced,3 - 5 Yrs of Exp,Full Time
