Job_Name,Company_Name,Location,Published_Time,exp_level,exp_years,Job_Type
Senior Aerodrome & Route Studies Officer,Qatar Airways Other locations,"Doha, Qatar",N/A,Not specified,Accounting/Finance,Full Time
Housekeeping Team Leader,"Marriott International, Inc & Ritz Carlton Hotel Company L.L.C.","Dubai, United Arab Emirates",N/A,Not specified,IT/Software Development,Full Time
Lead Software Engineer-Frontend,kashier,"Cairo, Egypt",N/A,Not specified,IT/Software Development,Full Time
Hotel Cleanliness Expert,"Marriott International, Inc & Ritz Carlton Hotel Company L.L.C.","Dubai, United Arab Emirates",N/A,Not specified,Administration,Full Time
Beverage Manager,"Marriott International, Inc & Ritz Carlton Hotel Company L.L.C.","Riyadh, Saudi Arabia",N/A,Not specified,Hospitality/Hotels/Food Services,Full Time
Project Engineer – Mechanical,Air Products (Middle East) FZE,"Jizan, Saudi Arabia",N/A,Not specified,Installation/Maintenance/Repair,Full Time
Trading Manager B2B - Beauty/Personal Care,Alert International,"Dubai, United Arab Emirates",N/A,Not specified,Business Development,Full Time
Registrar Radiology,Alert International,"Kuwait City, Kuwait",N/A,Not specified,Business Development,Full Time
Occupational Therapist (Al Ain),Alert International,"Abu Dhabi, United Arab Emirates",N/A,Not specified,Medical/Healthcare,Full Time
Trading Manager B2B – Premium Liquors (South East Asia),Alert International,"Dubai, United Arab Emirates",N/A,Not specified,Business Development,Full Time
Director Of Nursing,Alert International,"Kuwait City, Kuwait",N/A,Not specified,Operations/Management,Full Time
"Sr. Product Manager, UFG",Amazon MENA,"Dubai, United Arab Emirates",N/A,Not specified,IT/Software Development,Full Time
"Brand Specialist, AVS (Amazon Vendor Services)",Amazon MENA,"Cairo, Egypt",N/A,Not specified,Marketing/PR/Advertising,Full Time
"Loss Prevention Manager, Security & Loss Prevention",Amazon MENA,"Cairo, Egypt",N/A,Not specified,Banking,Full Time
Compensation and Benefits Manager,Case In Point,"Riyadh, Saudi Arabia",N/A,Not specified,Accounting/Finance,Full Time
Senior Integrated Media Planning Manager,Assembly Global,"Dubai, United Arab Emirates",N/A,Not specified,Accounting/Finance,Full Time
Manager - Leasing Services,ADCB Abu Dhabi Commercial Bank,"Abu Dhabi, United Arab Emirates",N/A,Not specified,Administration,Full Time
Translator,Namma Cargo,"Jeddah, Saudi Arabia",N/A,Not specified,Writing/Editorial,Full Time
"Business Development Representative – APAC Dubai, UAE Sales Team",Easygenerator,"Dubai, United Arab Emirates",N/A,Not specified,Business Development,Full Time
Cardiothoracic Surgeon,WizeJob,"Dubai, United Arab Emirates",N/A,Not specified,Medical/Healthcare,Full Time
"Grade 1 teacher required for August start, Abu Dhabi",PriorySouthsea,"Dubai, United Arab Emirates",N/A,Not specified,Education/Teaching,Full Time
Commis 1 - Bakery - Pastry,apt resources,"Dubai, United Arab Emirates",N/A,Not specified,Engineering - Construction/Civil/Architecture,Full Time
Senior Social Media Manager,Motivate Media Group,"Dubai, United Arab Emirates",N/A,Not specified,Writing/Editorial,Full Time
PBB PCA AC Maintenance Technician I,Vanderlande Industries B.V.,"Riyadh, Saudi Arabia",N/A,Not specified,Installation/Maintenance/Repair,Full Time
Swahili Language Instructor in Abu Dhabi,Eton Institute,"Abu Dhabi, United Arab Emirates",N/A,Not specified,Marketing/PR/Advertising,Full Time
DHHAM_Asset Management.Associate Director - Finance & Accounts,DUBAI HOLDING,"Dubai, United Arab Emirates",N/A,Not specified,Accounting/Finance,Full Time
GIS Developer,Giza Arabia Systems,"Cairo, Egypt",N/A,Not specified,Installation/Maintenance/Repair,Full Time
IT Manager – Internal Support and Vendor Oversight,Salt Search Ltd,"Dubai, United Arab Emirates",N/A,Not specified,Installation/Maintenance/Repair,Full Time
Oral Surgeon,WizeJob,"Dubai, United Arab Emirates",N/A,Not specified,Medical/Healthcare,Full Time
Acute Medicine Specialist,WizeJob,"Dubai, United Arab Emirates",N/A,Not specified,Customer Service/Support,Full Time
"Assistant Manager, Housekeeping",Atlantis,"Dubai, United Arab Emirates",N/A,Not specified,Administration,Full Time
Consultant Endocrinologist,WizeJob,"Dubai, United Arab Emirates",N/A,Not specified,Medical/Healthcare,Full Time
Specialist Financial Planning & Budgeting,Dautom,"Abu Dhabi, United Arab Emirates",N/A,Not specified,Accounting/Finance,Full Time
Russian Language... CareTaker,"GreatAuPair, LLC","Doha, Qatar",N/A,Not specified,Customer Service/Support,Full Time
1609.Passenger Marketing & Communication Analyst,Saudi Arabia Railways,"Riyadh, Saudi Arabia",N/A,Not specified,IT/Software Development,Full Time
Specialist Sports Medicine,WizeJob,"Dubai, United Arab Emirates",N/A,Not specified,Business Development,Full Time
Tagalog speaking Male Executive Assistant to Chairman/CEO,apt resources,"Dubai, United Arab Emirates",N/A,Not specified,Administration,Full Time
812.Safety Inspection & Assurance Analyst,Saudi Arabia Railways,"Riyadh, Saudi Arabia",N/A,Not specified,R&D/Science,Full Time
Paediatrician,WizeJob,"Dubai, United Arab Emirates",N/A,Not specified,Medical/Healthcare,Full Time
Accountant Encoder (Tally System),Youffy Group,"Doha, Qatar",N/A,Not specified,Accounting/Finance,Full Time
Logistics 4D Planner,Mace Group,"Riyadh, Saudi Arabia",N/A,Not specified,Creative/Design/Art,Full Time
Registered Nurse - Outpatient (Paediatrics),Mediclinic International,"Abu Dhabi, United Arab Emirates",N/A,Not specified,Customer Service/Support,Full Time
Senior HR Specialist,Strategic Gears Management Consultancy,"Cairo, Egypt",N/A,Not specified,Human Resources,Full Time
Technician Supervisor,Giza Arabia Systems,"Cairo, Egypt",N/A,Not specified,Installation/Maintenance/Repair,Full Time
Limousine Driver - for FILIPINO only,Youffy Group,"Doha, Qatar",N/A,Not specified,Customer Service/Support,Full Time
HeRAMS country support roving consultant,World Health Org,"Cairo, Egypt",N/A,Not specified,Business Development,Full Time
Au Pair Job in Larnaca with Fun Host Family,"GreatAuPair, LLC","Doha, Qatar",N/A,Not specified,Administration,Full Time
Specialist Data Management,Dautom,"Abu Dhabi, United Arab Emirates",N/A,Not specified,Administration,Full Time
Registered Nurse - Outpatient (General Surgery),Mediclinic International,"Abu Dhabi, United Arab Emirates",N/A,Not specified,Customer Service/Support,Full Time
Native Italian Language Instructors for Dubai and Abu Dhabi.,Eton Institute,"Dubai, United Arab Emirates",N/A,Not specified,Engineering - Telecom/Technology,Full Time
ADMINISTRATION EXECUTIVE / RECEPTIONIST,Motivate Media Group,"Dubai, United Arab Emirates",N/A,Not specified,Accounting/Finance,Full Time
Senior Data Analyst,DXC,"Cairo, Egypt",N/A,Not specified,IT/Software Development,Full Time
Kuwait-Part-time BD Partner/Agency,LingoAce,"Kuwait City, Kuwait",N/A,Not specified,Operations/Management,Full Time
Trading Fraud Analyst,Deriv,"Dubai, United Arab Emirates",N/A,Not specified,Accounting/Finance,Full Time
Hi! im from Philippines looking for host family in Eu,"GreatAuPair, LLC","Doha, Qatar",N/A,Not specified,Business Development,Full Time
"Senior Manager, IT GRC",ROSHN,"Riyadh, Saudi Arabia",N/A,Not specified,IT/Software Development,Full Time
Intelligence Operations Integrator - Deployed,"Barbaricum, LLC","Doha, Qatar",N/A,Not specified,IT/Software Development,Full Time
1035.Performance Management Senior Specialist,Saudi Arabia Railways,"Riyadh, Saudi Arabia",N/A,Not specified,Human Resources,Full Time
Communication/PR Senior Account Manager,NNCPR,"Dubai, United Arab Emirates",N/A,Not specified,Customer Service/Support,Full Time
Sr Biopharmaceutical Rep - Cairo (Speciality Line),Amgen Inc.,"Cairo, Egypt",N/A,Not specified,Accounting/Finance,Full Time
Healthcare Administrator - Accident & Emergency,Mediclinic International,"Abu Dhabi, United Arab Emirates",N/A,Not specified,Administration,Full Time
SFE Specialist,AstraZeneca plc,"Dubai, United Arab Emirates",N/A,Not specified,Accounting/Finance,Full Time
1743.Admin Assistant,Saudi Arabia Railways,"Riyadh, Saudi Arabia",N/A,Not specified,Administration,Full Time
HR Services Analyst,SANS,"Jeddah, Saudi Arabia",N/A,Not specified,Human Resources,Full Time
Recherche gouvernante Philippine,"GreatAuPair, LLC","Doha, Qatar",N/A,Not specified,Administration,Full Time
Quantitative Trader Equities HFT - Dubai,Harcourt Patterson Group,"Dubai, United Arab Emirates",N/A,Not specified,Accounting/Finance,Full Time
Sales Executive,Bragonatech,"Dubai, United Arab Emirates",N/A,Not specified,Business Development,Full Time
Java Fullstack Engineer,Yassir,"Cairo, Egypt",N/A,Not specified,Installation/Maintenance/Repair,Full Time
SAINT LAURENT Stock Associate,SAINT LAURENT,"Kuwait City, Kuwait",N/A,Not specified,Operations/Management,Full Time
Quantitative Trader Futures HFT - Dubai,Harcourt Patterson Group,"Dubai, United Arab Emirates",N/A,Not specified,Marketing/PR/Advertising,Full Time
"Attendant, Food and Beverage, Cloud 22",Atlantis,"Dubai, United Arab Emirates",N/A,Not specified,Customer Service/Support,Full Time
495.Passenger Service Assistant,Saudi Arabia Railways,"Riyadh, Saudi Arabia",N/A,Not specified,Customer Service/Support,Full Time
1748.Mega Projects Contracts Senior Manager,Saudi Arabia Railways,"Riyadh, Saudi Arabia",N/A,Not specified,Engineering - Construction/Civil/Architecture,Full Time
Family Practice Specialist,Johns Hopkins Aramco Healthcare,"Qatif, Saudi Arabia",N/A,Not specified,IT/Software Development,Full Time
"Senior Managing Consultant, Advisors Business Development",OA- Mastercard,"Riyadh, Saudi Arabia",N/A,Not specified,IT/Software Development,Full Time
"Head Waiter, Cloud 22",Atlantis,"Dubai, United Arab Emirates",N/A,Not specified,Customer Service/Support,Full Time
"Manager, Product Development",Mastercard Incorporated,"Dubai, United Arab Emirates",N/A,Not specified,Business Development,Full Time
699.Terminal Operator,Saudi Arabia Railways,"Riyadh, Saudi Arabia",N/A,Not specified,Accounting/Finance,Full Time
1732.Corporate Business Development & Partnerships Specialist,Saudi Arabia Railways,"Riyadh, Saudi Arabia",N/A,Not specified,Business Development,Full Time
Quantitative Trader Futures MFT - Dubai,Harcourt Patterson Group,"Dubai, United Arab Emirates",N/A,Not specified,Marketing/PR/Advertising,Full Time
1177.IT Audit Senior Manager,Saudi Arabia Railways,"Riyadh, Saudi Arabia",N/A,Not specified,Accounting/Finance,Full Time
1696.Senior Auditor,Saudi Arabia Railways,"Riyadh, Saudi Arabia",N/A,Not specified,Accounting/Finance,Full Time
Consultant Urologist,WizeJob,"Dubai, United Arab Emirates",N/A,Not specified,Medical/Healthcare,Full Time
260.Governance & Compliance Section Head,Saudi Arabia Railways,"Riyadh, Saudi Arabia",N/A,Not specified,Accounting/Finance,Full Time
School Cashier,GEMS Group Holdings Limited,"Dubai, United Arab Emirates",N/A,Not specified,Accounting/Finance,Full Time
Sales Coordinator - Salesforce,PaxeraHealth,"Cairo, Egypt",N/A,Not specified,Administration,Full Time
Consultant Palliative Care,Mediclinic International,"Dubai, United Arab Emirates",N/A,Not specified,Medical/Healthcare,Full Time
Graduate Civil Engineer,Worley group,"Doha, Qatar",N/A,Not specified,Engineering - Construction/Civil/Architecture,Full Time
Quantitative Trader Equities MFT - Dubai,Harcourt Patterson Group,"Dubai, United Arab Emirates",N/A,Not specified,Accounting/Finance,Full Time
Lady’s maid in Berlin,"GreatAuPair, LLC","Doha, Qatar",N/A,Not specified,Administration,Full Time
Au Pair needed in Galali,"GreatAuPair, LLC","Doha, Qatar",N/A,Not specified,Other,Full Time
Temporary Nanny in CDMX 7/1 - 7/21,"GreatAuPair, LLC","Doha, Qatar",N/A,Not specified,Administration,Full Time
Electrical Engineer,Hazim Consulting,"Jeddah, Saudi Arabia",N/A,Not specified,Installation/Maintenance/Repair,Full Time
Senior Full Stack Engineer (Node.js & React),Yassir,"Cairo, Egypt",N/A,Not specified,Creative/Design/Art,Full Time
Public Relations Manager,Lucid Motors,"Riyadh, Saudi Arabia",N/A,Not specified,Customer Service/Support,Full Time
Senior iOS Engineer (Financial Services),Yassir,"Cairo, Egypt",N/A,Not specified,IT/Software Development,Full Time
Security Manager-Africa,The Coca-Cola Company,"Cairo, Egypt",N/A,Not specified,Administration,Full Time
Research Specialist Level 4 - Mathematical Modeling,Weill Cornell Medicine-Qatar,"Doha, Qatar",N/A,Not specified,IT/Software Development,Full Time
General Accountant,Vice Media,"Riyadh, Saudi Arabia",N/A,Not specified,Accounting/Finance,Full Time
Culinary Director,Quest Search and Selection,"Dubai, United Arab Emirates",N/A,Manager,Hospitality/Hotels/Food Services,Full Time
Operations Manager,Quest Search and Selection,"Dubai, United Arab Emirates",N/A,Manager,Administration,Full Time
Logistic Coordinator,KBR Inc.,"Riyadh, Saudi Arabia",N/A,Not specified,Administration,Full Time
EcoXpert Sales Account Manager,Schneiderelectricrepair,"Cairo, Egypt",N/A,Not specified,Customer Service/Support,Full Time
Social Publisher,Vice Media,"Riyadh, Saudi Arabia",N/A,Not specified,Writing/Editorial,Full Time
Traffic Engineer,Giza Arabia Systems,"Cairo, Egypt",N/A,Not specified,Engineering - Construction/Civil/Architecture,Full Time
FRP Technician,GALADARI BROTHERS CO. L.L.C,"Dubai, United Arab Emirates",N/A,Not specified,Manufacturing/Production,Full Time
Specialist Registrar- Hatta Hospital,Dubai Academic Health Corporation,"Dubai, United Arab Emirates",N/A,Not specified,Medical/Healthcare,Full Time
Digital Technical Engineer - Security VA,apt resources,"Dubai, United Arab Emirates",N/A,Not specified,Engineering - Construction/Civil/Architecture,Full Time
Finance Operations Accountant,Vodafone Qatar,"Doha, Qatar",N/A,Experienced,Accounting/Finance,Full Time
"Supply Chain Manager: Procurement, Labor, & Logistics (Wood, Steel, and Furniture Manufacturing Materials)",Staron Egypt,"Heliopolis, Cairo, Egypt",N/A,Manager,5+ Yrs of Exp,Full Time
ERP Application Consultant,RTX for Shipping,"Nasr City, Cairo, Egypt",N/A,Experienced,1 - 2 Yrs of Exp,Full Time
Sr. Technical Office Engineer-MEP,Sharm Dreams Group ,"Cairo, Egypt",N/A,Experienced,7 - 10 Yrs of Exp,Full Time
2D Graphic Designer,Off-Beat,"Heliopolis, Cairo, Egypt",N/A,Experienced,2 - 3 Yrs of Exp,Full Time
Music Teacher (Early years and Primary),Malvern College Egypt,"Katameya, Cairo, Egypt",N/A,Experienced,4 - 6 Yrs of Exp,Full Time
Sales Executive,Ellithy Group,"Sheikh Zayed, Giza, Egypt",N/A,Experienced,1 - 2 Yrs of Exp,Full Time
Senior Electrical Site Engineer,KB Architects ,"Maadi, Cairo, Egypt",N/A,Experienced,8 - 10 Yrs of Exp,Full Time
Sales Supervisor (Outdoor),Confidential,"Cairo, Egypt",N/A,Manager,5+ Yrs of Exp,Full Time
Project Manager,KB Architects ,"Maadi, Cairo, Egypt",N/A,Manager,10 - 15 Yrs of Exp,Full Time
Senior Account Manager,Akhtaboot Group,"New Cairo, Cairo, Egypt",N/A,Experienced,3 - 5 Yrs of Exp,Full Time
Executive Assistant,Cultiv,"Heliopolis, Cairo, Egypt",N/A,Experienced,3 - 7 Yrs of Exp,Full Time
Recruitment & Payroll Specialist,Leap Development Hub,"New Cairo, Cairo, Egypt",N/A,Experienced,1 - 3 Yrs of Exp,Full Time
Personnel Specialist,Cleopatra Hospitals Group,"Maadi, Cairo, Egypt",N/A,Entry Level,1 - 3 Yrs of Exp,Full Time
Senior Trade Marketing Specialist (Outsourced Contract) - Smart Village,Prometeon Tyres Group – Egypt  (Ex-Pirelli Tyres Egypt),"Cairo, Egypt",N/A,Experienced,3 - 6 Yrs of Exp,Full Time
Planning & Budgeting and Costing Senior Accountant,Ascom,"Maadi, Cairo, Egypt",N/A,Experienced,4 - 5 Yrs of Exp,Full Time
Research Senior Manager,SAVOLA,"Nasr City, Cairo, Egypt",N/A,Manager,10 - 12 Yrs of Exp,Full Time
Animation Team Executive,Top Team Entertainment,"Hurghada, Red Sea, Egypt",N/A,Entry Level,0 - 3 Yrs of Exp,Full Time
International Sales manager,Nature's Rule Egypt LLC ,"New Cairo, Cairo, Egypt",N/A,Manager,7+ Yrs of Exp,Full Time
Marketing Manager,Bazzar,"Azbakia, Cairo, Egypt",N/A,Manager,2 - 5 Yrs of Exp,Full Time
Senior Property Consultant,Coldwell Banker Trust,"Sheraton, Cairo, Egypt",N/A,Experienced,2 - 3 Yrs of Exp,Full Time
Recruitment Executive,Confidential,"New Nozha, Cairo, Egypt",N/A,Experienced,5 - 7 Yrs of Exp,Full Time
HR Internship,Selah ElTelmeez For Publishing & printing,"Obour City, Cairo, Egypt",N/A,Entry Level,Human Resources,Internship
Brand Manager,Raya Distribution,"Maadi, Cairo, Egypt",N/A,Experienced,5 - 7 Yrs of Exp,Full Time
E- Commerce Business Unit Manager,Nature's Rule Egypt LLC ,"Cairo, Egypt",N/A,Manager,10+ Yrs of Exp,Full Time
Senior Full Stack React/ Python (Django) Developer - Remote,GetTechForce.com,"Cairo, Egypt",N/A,Experienced,5+ Yrs of Exp,Full Time
Coffee Shop Manager,D' Cafe,"6th of October, Giza, Egypt",N/A,Manager,5 - 10 Yrs of Exp,Full Time
Business Developer,Confidential,"Nasr City, Cairo, Egypt",N/A,Entry Level,1 - 3 Yrs of Exp,Full Time
SENOIR SALES,KAMF REAL ESTATE MARKETING ,"Dokki, Giza, Egypt",N/A,Experienced,3 - 7 Yrs of Exp,Full Time
Finance Officer,Almosafer,"Mohandessin, Giza, Egypt",N/A,Entry Level,1+ Yrs of Exp,Full Time
Technical Designer ( Fashion Retail ),Al-Nasser ,"6th of October, Giza, Egypt",N/A,Experienced,3 - 5 Yrs of Exp,Full Time
Graphic Designer/Packaging Designer,Nature's Rule Egypt LLC ,"New Cairo, Cairo, Egypt",N/A,Experienced,5+ Yrs of Exp,Full Time
Medical Representative,Breach labs,"Mansoura, Dakahlia, Egypt",N/A,Experienced,0 - 3 Yrs of Exp,Full Time
Call Center Agent,El Nahar for Medical Solutions,"Giza, Egypt",N/A,Entry Level,1 - 3 Yrs of Exp,Full Time
Barista,D' Cafe,"Giza, Egypt",N/A,Experienced,2 - 5 Yrs of Exp,Full Time
Executive Secretary,Confidential,"Smart Village, Giza, Egypt",N/A,Experienced,2 - 4 Yrs of Exp,Full Time
HR Specialist,Confidential,"Bourj Alarab, Alexandria, Egypt",N/A,Experienced,2+ Yrs of Exp,Full Time
Senior Personnel Specialist,Seldar Egypt,"New Cairo, Cairo, Egypt",N/A,Experienced,4 - 8 Yrs of Exp,Full Time
GRC Engineer,Paymob Solutions,"Maadi, Cairo, Egypt",N/A,Experienced,2 - 4 Yrs of Exp,Full Time
SSIS/SSRS SQL Developer (SQL Database Admin) (SQL/SSIS/SSRS) Fluent English Speakers Only,FlairsTech,"Cairo, Egypt",N/A,Experienced,5+ Yrs of Exp,Full Time
Talent Acquisition Specialist,FlairsTech,"Maadi, Cairo, Egypt",N/A,Entry Level,1 - 3 Yrs of Exp,Full Time
Customer Service and Marketing Support,Elsewedy industries,"New Cairo, Cairo, Egypt",N/A,Entry Level,0 - 2 Yrs of Exp,Full Time
Human Resources Generalist (Alexandria),FlairsTech,"Alexandria, Egypt",N/A,Experienced,2 - 4 Yrs of Exp,Full Time
Account Director,Akhtaboot Group,"New Cairo, Cairo, Egypt",N/A,Manager,3 - 5 Yrs of Exp,Full Time
CEO Personal Assistant,Akhtaboot Group,"New Cairo, Cairo, Egypt",N/A,Experienced,3 - 15 Yrs of Exp,Full Time
Social Media Marketing Specialist,ABUDIYAB IT SERVICES,"New Cairo, Cairo, Egypt",N/A,Experienced,1 - 3 Yrs of Exp,Full Time
Business Development Manager,Akhtaboot Group,"New Cairo, Cairo, Egypt",N/A,Manager,3 - 5 Yrs of Exp,Full Time
Offline Marketing Specialist,SMG Engineering Automotive,"Sheikh Zayed, Giza, Egypt",N/A,Experienced,3 - 5 Yrs of Exp,Full Time
English Customer Service Associate,Amazon CS Egypt,"New Cairo, Cairo, Egypt",N/A,Entry Level,0 - 1 Yrs of Exp,Full Time
Back End Developer (PHP-Laravel),ABUDIYAB IT SERVICES,"New Cairo, Cairo, Egypt",N/A,Experienced,1 - 3 Yrs of Exp,Full Time
Sales Administrator,Elagdar Real Estate,"New Cairo, Cairo, Egypt",N/A,Experienced,2 - 10 Yrs of Exp,Full Time
Production Engineer,Danta for Home Appliances,"Sharqia, Egypt",N/A,Experienced,7 - 10 Yrs of Exp,Full Time
Customer Service Representative,Grouhy,"Downtown, Cairo, Egypt",N/A,Entry Level,0 - 2 Yrs of Exp,Full Time
Talent Acquisition Specialist,Confidential,"Heliopolis, Cairo, Egypt",N/A,Experienced,2 - 4 Yrs of Exp,Full Time
SAP ABAP Developer,Rashideen Egypt for Trade ,"Maadi, Cairo, Egypt",N/A,Entry Level,0 - 2 Yrs of Exp,Full Time
Senior Sales Executive,Confidential,"Maadi, Cairo, Egypt",N/A,Experienced,5 - 10 Yrs of Exp,Full Time
English Teacher (National Division),Modern American School of Egypt 2000,"New Cairo, Cairo, Egypt",N/A,Experienced,1 - 7 Yrs of Exp,Full Time
Medical Marketing Representative,Eye Care Center,"Maadi, Cairo, Egypt",N/A,Experienced,2 - 5 Yrs of Exp,Full Time
Content Manager,إن هاوس ,"Mohandessin, Giza, Egypt",N/A,Manager,4 - 8 Yrs of Exp,Full Time
Accountant,Danta for Home Appliances,"10th of Ramadan City, Sharqia, Egypt",N/A,Manager,10 - 12 Yrs of Exp,Full Time
Sales Account Executive,Road9 Media,"Maadi, Cairo, Egypt",N/A,Experienced,1 - 6 Yrs of Exp,Full Time
Costing Executive,EVA Cosmetics ,"6th of October, Giza, Egypt",N/A,Experienced,5 - 10 Yrs of Exp,Full Time
Operations Supervisor,Chloride,"Abu Rawash, Giza, Egypt",N/A,Experienced,1 - 3 Yrs of Exp,Full Time
Accountant ( Fresh graduates),Confidential,"10th of Ramadan City, Cairo, Egypt",N/A,Entry Level,1 - 2 Yrs of Exp,Full Time
Content Creator Specialist,SG Group,"Cairo, Egypt",N/A,Experienced,3 - 5 Yrs of Exp,Full Time
.NET Developer,Ether Technology,"Mohandessin, Giza, Egypt",N/A,Experienced,2+ Yrs of Exp,Full Time
Call Center Manager,waffarha.com,"Downtown, Cairo, Egypt",N/A,Manager,3 - 5 Yrs of Exp,Full Time
Sales support analysis,Fine Hygienic Holding,"6th of October, Giza, Egypt",N/A,Entry Level,1 - 3 Yrs of Exp,Full Time
General Manager,Confidential,"Alexandria, Egypt",N/A,Senior Management,15 - 20 Yrs of Exp,Full Time
Technical HR Generalist,El-Sewedy Electrometer,"6th of October, Giza, Egypt",N/A,Experienced,1 - 4 Yrs of Exp,Full Time
Data Entry Specialist,Kreston,"Maadi, Cairo, Egypt",N/A,Entry Level,0 - 2 Yrs of Exp,Full Time
Sales Specialistl,LocaliZone Translation Co .,"Maadi, Cairo, Egypt",N/A,Experienced,2+ Yrs of Exp,Full Time
Sales Internship,Barkotel,"Sheraton, Cairo, Egypt",N/A,Entry Level,Business Development,Internship
Purchasing Specialist,ORGANI GROUP,"New Cairo, Cairo, Egypt",N/A,Experienced,2+ Yrs of Exp,Full Time
HR Specialist,Ovo Egypt,"6th of October, Giza, Egypt",N/A,Experienced,3 - 5 Yrs of Exp,Full Time
Business Development Manager,floward,"Cairo, Egypt",N/A,Experienced,5 - 8 Yrs of Exp,Full Time
Sales Manager,BSS Group,"Beni Suef, Beni Suef, Egypt",N/A,Manager,8 - 12 Yrs of Exp,Full Time
Digital Marketing Executive,Mazaya,"New Cairo, Cairo, Egypt",N/A,Entry Level,1 - 3 Yrs of Exp,Full Time
Deutch / German Instructor (Foreigners Welcome),LockedInCareers,"Cairo, Egypt",N/A,Experienced,1 - 5 Yrs of Exp,Full Time
Finance & Grants Manager,Confidential,"Mohandessin, Giza, Egypt",N/A,Experienced,7 - 10 Yrs of Exp,Full Time
IT Infrastructure Lead,Dreem Mashreq Foods ,"Smouha, Alexandria, Egypt",N/A,Experienced,8 - 12 Yrs of Exp,Full Time
Quality Assurance Manager,Confidential,"Alexandria, Egypt",N/A,Manager,8+ Yrs of Exp,Full Time
Script translation Arabic to English/Arabic,EXPACT DALES,"Barnsley, United Kingdom",N/A,Entry Level,0 - 2 Yrs of Exp,Part Time
Vendor Coordinator (localization&Translation),Loc-Camp,"Haram, Giza, Egypt",N/A,Entry Level,1 - 3 Yrs of Exp,Full Time
Senior Sales Associate - Gouna,Azza Fahmy Jewellery,"Hurghada, Red Sea, Egypt",N/A,Entry Level,1 - 3 Yrs of Exp,Full Time
Shift Engineer,Saint-Gobain,"Ain Sokhna, Suez, Egypt",N/A,Entry Level,2 - 4 Yrs of Exp,Full Time
Projects Sales Engineer,Saint-Gobain,"New Cairo, Cairo, Egypt",N/A,Entry Level,3 - 5 Yrs of Exp,Full Time
Electrical Site Engineer,Raafat Miller Consulting,"Dokki, Giza, Egypt",N/A,Experienced,3 - 8 Yrs of Exp,Full Time
Flutter Mobile Apps Developer,52nd Solution ,"New Cairo, Cairo, Egypt",N/A,Experienced,5+ Yrs of Exp,Full Time
Mechanical Site Engineer,Raafat Miller Consulting,"Dokki, Giza, Egypt",N/A,Experienced,3 - 8 Yrs of Exp,Full Time
Export Sales ( Oil & Gas ) - Giza,Pillars,"Cairo, Egypt",N/A,Experienced,5 - 8 Yrs of Exp,Full Time
Technical Project Manager,Interact Technology Solutions,"Maadi, Cairo, Egypt",N/A,Experienced,5 - 8 Yrs of Exp,Full Time
MEP Engineer,Quds for Engineering & Contracting,"Nasr City, Cairo, Egypt",N/A,Experienced,1 - 4 Yrs of Exp,Full Time
Planning Engineer,Inco group,"Nasr City, Cairo, Egypt",N/A,Entry Level,2 - 4 Yrs of Exp,Full Time
QEHS Supervisor,Confidential,"Giza, Egypt",N/A,Experienced,2 - 4 Yrs of Exp,Full Time
Technical Project Manager,BBI-Consultancy,"Nasr City, Cairo, Egypt",N/A,Experienced,4+ Yrs of Exp,Full Time
Export Manager (Fruits-Vegetables),Confidential,"Mohandessin, Giza, Egypt",N/A,Manager,8 - 12 Yrs of Exp,Full Time
IT Support Engineer,T&D Design,"New Cairo, Cairo, Egypt",N/A,Entry Level,1 - 2 Yrs of Exp,Full Time
HR Supervisor ( Oil & Gas ) - Giza,Pillars,"Cairo, Egypt",N/A,Experienced,6 - 8 Yrs of Exp,Full Time
Contracting Specialist,Nugget Tours,"Cairo, Egypt",N/A,Experienced,2 - 8 Yrs of Exp,Full Time
Office Manager - Male Only,Confidential,"Riyadh, Saudi Arabia",N/A,Experienced,3 - 10 Yrs of Exp,Full Time
HR Admin Assistant,Cilantro,"Maadi, Cairo, Egypt",N/A,Entry Level,1+ Yrs of Exp,Full Time
Sales Engineer (Oil & Gas) - Giza,Pillars,"Cairo, Egypt",N/A,Experienced,5 - 10 Yrs of Exp,Full Time
Finance Manager,Confidential,"New Cairo, Cairo, Egypt",N/A,Manager,10 - 15 Yrs of Exp,Full Time
Business Developer,Confidential,"Maadi, Cairo, Egypt",N/A,Entry Level,0 - 1 Yrs of Exp,Full Time
Recruitment Specialist,Kandeel Group,"New Cairo, Cairo, Egypt",N/A,Experienced,2 - 3 Yrs of Exp,Full Time
Survey Engineer ( Industrial field),China Construction Steel Structure ,"10th of Ramadan City, Cairo, Egypt",N/A,Experienced,5+ Yrs of Exp,Full Time
Telesales Representative,Display Icon,"Obour City, Cairo, Egypt",N/A,Experienced,3 - 10 Yrs of Exp,Full Time
Human Resources Generalist,IETOS,"Sheraton, Cairo, Egypt",N/A,Entry Level,1 - 3 Yrs of Exp,Full Time
SMEs Team Leader - Kafr Elsheikh,Tasaheel Finance ,"Kafr Alsheikh, Egypt",N/A,Experienced,3 - 5 Yrs of Exp,Full Time
SMEs Team Leader - Banha,Tasaheel Finance ,"Banha, Qalubia, Egypt",N/A,Experienced,3 - 5 Yrs of Exp,Full Time
Product Manager (Fashion Retail),A2Z Lingerie,"Smouha, Alexandria, Egypt",N/A,Manager,4 - 8 Yrs of Exp,Full Time
